year,population
2010,310232863
2009,307006550
2008,304374846
2007,301579895
2006,298593212
2005,295753151
2004,293045739
2003,290326418
2002,287803914
2001,285081556
2000,282171957
1999,272690813
1998,270298524
1997,267743595
1996,265189794
1995,262764948
1994,260289237
1993,257746103
1992,254994517
1991,252127402
1990,249438712
1989,246819230
1988,244498982
1987,242288918
1986,240132887
1985,237923795
1984,235824902
1983,233791994
1982,231664458
1981,229465714
1980,227224681
1979,225055487
1978,222584545
1977,220239425
1976,218035164
1975,215973199
1974,213853928
1973,211908788
1972,209896021
1971,207660677
1970,205052174
1969,202676946
1968,200706052
1967,198712056
1966,196560338
1965,194302963
1964,191888791
1963,189241798
1962,186537737
1961,183691481
1960,180671158
1959,177829628
1958,174881904
1957,171984130
1956,168903031
1955,165931202
1954,163025854
1953,160184192
1952,157552740
1951,154877889
1950,152271417
1949,149188130
1948,146631302
1947,144126071
1946,141388566
1945,139928165
1944,138397345
1943,136739353
1942,134859553
1941,133402471
1940,132122446
1939,130879718
1938,129824939
1937,128824829
1936,128053180
1935,127250232
1934,126373773
1933,125578763
1932,124840471
1931,124039648
1930,123076741
1929,121767000
1928,120509000
1927,119035000
1926,117397000
1925,115829000
1924,114109000
1923,111947000
1922,110049000
1921,108538000
1920,106461000
1919,104514000
1918,103208000
1917,103268000
1916,101961000
1915,100546000
1914,99111000
1913,97225000
1912,95335000
1911,93863000
1910,92407000
1909,90490000
1908,88710000
1907,87008000
1906,85450000
1905,83822000
1904,82166000
1903,80632000
1902,79163000
1901,77584000
1900,76094000
1899,74668165
1898,73269047
1897,71896145
1896,70548968
1895,69227035
1894,67929871
1893,66657014
1892,65408007
1891,64182404
1890,62979766
1889,61566147
1888,60184258
1887,58833385
1886,57512834
1885,56221923
1884,54959988
1883,53726378
1882,52520456
1881,51341603
1880,50189209
1879,48883375
1878,47611517
1877,46372750
1876,45166214
1875,43991069
1874,42846500
1873,41731710
1872,40645925
1871,39588390
1870,38558371
1869,37779799
1868,37016949
1867,36269502
1866,35537148
1865,34819581
1864,34116504
1863,33427622
1862,32752651
1861,32091309
1860,31443321
1859,30500654
1858,29586249
1857,28699257
1856,27838857
1855,27004251
1854,26194668
1853,25409355
1852,24647586
1851,23908654
1850,23191876
1849,22491802
1848,21812861
1847,21154414
1846,20515848
1845,19896549
1844,19295948
1843,18713477
1842,18148589
1841,17600752
1840,17069453
1839,16593655
1838,16131120
1837,15681478
1836,15244369
1835,14819444
1834,14406364
1833,14004798
1832,13614425
1831,13234933
1830,12866020
1829,12499727
1828,12143863
1827,11798130
1826,11462239
1825,11135912
1824,10818875
1823,10510864
1822,10211622
1821,9920899
1820,9638453
1819,9366552
1818,9102321
1817,8845544
1816,8596011
1815,8353517
1814,8117864
1813,7888859
1812,7666314
1811,7450047
1810,7239881
1809,7018678
1808,6804234
1807,6596341
1806,6394801
1805,6199418
1804,6010005
1803,5826379
1802,5648363
1801,5475787
1800,5308483
1799,5151147
1798,4998475
1797,4850327
1796,4706570
1795,4567074
1794,4431713
1793,4300363
1792,4172906
1791,4049227
1790,3929214
1789,3804342
1788,3683439
1787,3566378
1786,3453037
1785,3343298
1784,3237047
1783,3134172
1782,3034567
1781,2938127
1780,2844752
1779,2754345
1778,2666811
1777,2582059
1776,2500000
